Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,0,1,0,3,4,5,3,2,3,11,18,13,6,13,8,6,7,8,6,17,25,8,15,51,3,6,21,27,19,42,36,10,23,26,43,27,1,88,93,57,54,43,25,46,39,56,211,112,73,104,68,163,163,142,100,245,113,144,197,115,209,238,160,173,408,244,363,292,318,368,433,614,557,326,711,308,350
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,4,2,5,6,1,-1,12,25,26,3,33,10,28,10,15,42,20,61,32,49,37,70,38,38,28,-3,65,28,31,14,34,7,15,15,9,31,1,35,7,-11,-25,1,19,-46,9,-4,13,-6,62,59,-5,32,-33,38,-37,17,10,29,-83,-25,10,-41,-40,-9,-52,11,-62,-14,-42,-20,-31,3,-29,-11,-13,-18,-6,-12,1,-19,-15,-13
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,1,-5,0,-3,0,0,0,0,0,-1,0,-3,0,1,-5,0,0,0,0,1,0,0,0,2,1,0,5,0,-1,0,0,0,0,0,3
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,9,0,7,5,6,7,14,99,0,11,37,119,49,246,167,224,515,369,311,294,409,417,468,327,186,1089,1080,1124,977,1218,729,953,1751,2003,1745,1439,1022,1366,1133,-1245,-8126,1917,3040,2763,-6216,1964,1321,186,2599,2552,3423,2555,3039,3907,4432,5206,2505,1651,2382,3654,3858,7357,4580,6347,6140,2899,3938,2599,5317,11214,10672,7818,2663,7216,9052,8929,8043,10332,8386,7836,6958,10525,11459,14304,13932,20902,10266,6450
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,26,3,10,4,2,12,7,2,4,5,3,13,5,2,-5,-10,-3,-3,-5,-5,-2,-8,0,-7,-9,-3,-6,-1,-6,-5,-2,-1,0,-1,0,-4,0,-1,-1,0,-1,-2,-1,-1,-2,-1,0,0,0,0,-2,-2,-2,-1,1,2,-1,0,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,16,17,10,1,15,25,1,33,33,24,14,17,23,18,28,32,11,10,40,18,30,19,11,22,14,24,15,19,10,15,7,4,15,9,34,24,20,7,28,41,41,54,128,12,44,60,20,21,34,37,24,2,16,29,52,27,24,24,21,6,16,22,-4,21,6,8,8,-12,-9,-8,-6,-4,-17,-16,-8,-18,-37,-45,-37,3,-10
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,4,13,7,18,9,24,13,29,3,24,16,12,16,12,5,2,14,0,2,0,0,19,16,0,29,7,0,12,-37,-27,-29,-20,-6,-16,14,-19,-16,-2,-17,-9,-13,-4,-20,-4,-8,-15,4,4,11,34,0,4,1,-6,1,1,3,0,4,-7,-26,-8,0,3,-5,-1,0,0,18,0,12,-45,-1,0,0,0
Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,0,0,5,0,1,0,1,0,-2,-1,4,11,2,21,1,11,11,0,9,11,8,2,2,14,5,1,0,-6,4,-12,1,-4,-6,-2,0,0,-1,3,-4,0,-2,-2,-2,-2,-5,-4,-7,1,3,-1,2,0,-8,-2,-2,1,2,-2,0,-3,17,-8,4
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,-4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-1,1,0,1,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,1,0,2,1,45,0,0,2,3,6,1,5,9,6,2,16,3,4,0,5,-13,29,-2,6,11,4,27,6,-6,10,12,7,19,20,11,-16,0,-1,7,14,-3,6,-38,-4,10,-1,0,0,15,4,-12,23
